speed_avg,acc_avg_p,acc_avg_n,speed_var,acc_var_p,acc_var_n,labels
11.15021,0.58296,-0.38879,37.38645,0.19831,0.24811,0.0
18.2352,0.56419,-0.24933,59.95657,0.17332,0.13267,2.0
10.63112,0.65857,-0.39975,41.19488,0.44673,0.31738,0.0
10.07875,0.71084,-0.41284,45.20131,0.39235,0.2949,0.0
10.0,0.59242,-0.29877,22.40961,1.13194,0.67861,0.0
5.20766,0.41898,-0.33537,5.92421,0.08406,0.15579,1.0
5.977,0.46769,-0.24623,8.20283,0.08026,0.10104,1.0
16.95596,0.59194,-0.37308,75.62968,0.2165,0.23785,2.0
4.95107,0.31262,-0.11605,1.3504,0.02905,0.02826,1.0
9.58028,0.65556,-0.44521,18.0901,0.18751,0.34899,1.0
9.49578,0.50849,-0.37151,67.48602,0.17677,0.43374,2.0
12.65733,0.33008,-0.10703,7.3451,0.04609,0.0571,1.0
12.23321,0.33124,-0.13454,9.98497,0.05074,0.06023,1.0
9.24858,0.62908,-0.48476,25.88954,0.18385,0.24011,0.0
16.78792,0.45463,-0.23025,19.74214,0.08378,0.11517,0.0
14.93835,0.53415,-0.32355,33.54128,0.16236,0.21953,0.0
6.19419,0.40753,-0.20506,3.57302,0.06563,0.11047,1.0
9.63546,0.68781,-0.47726,24.84217,0.20265,0.30632,0.0
9.68419,0.6806,-0.4428,24.8898,0.20672,0.30258,0.0
9.40704,0.5147,-0.39835,39.18313,0.12436,0.23037,0.0
16.02625,0.41463,-0.14221,13.85841,0.11534,0.11616,0.0
5.57225,0.30704,-0.16864,7.27052,0.03462,0.06466,1.0
6.48937,0.47024,-0.2923,39.48264,0.11182,0.16061,0.0
7.11216,0.59356,-0.38247,21.96633,0.28455,0.24607,1.0
24.07055,0.48798,-0.16567,49.17858,5.94788,1.34654,0.0
23.82204,0.52493,-0.25415,96.17405,1.13741,0.61357,2.0
13.19508,0.43113,-0.2173,16.46993,0.15392,0.14768,0.0
6.79594,0.6181,-0.46962,37.76906,0.16287,0.3564,0.0
11.97341,0.70787,-0.40333,29.56394,0.34458,0.33182,0.0
7.12266,0.5592,-0.48721,14.82326,0.13642,0.31395,1.0
14.07118,0.36223,-0.22091,41.16603,0.05804,0.08628,0.0
11.14578,0.32659,-0.16577,12.78283,0.05117,0.09164,1.0
7.93903,0.37053,-0.21052,14.31516,0.04793,0.09298,1.0
14.53371,0.29204,-0.18374,9.83182,0.02643,0.09737,0.0
6.89511,0.58538,-0.4004,13.54984,0.17617,0.19658,1.0
9.89414,0.53213,-0.34026,21.69042,0.11046,0.1701,0.0
12.14052,0.44297,-0.27573,42.79614,0.09784,0.13346,0.0
12.12407,0.48272,-0.3536,30.80654,0.1392,0.2432,0.0
9.77085,0.50164,-0.358,31.30777,0.3058,0.21499,0.0
5.88304,0.41307,-0.17163,3.49303,0.06713,0.0825,1.0
9.10085,0.45181,-0.26946,33.00557,0.10273,0.13292,0.0
8.5961,0.57397,-0.42163,24.04187,0.13791,0.23647,0.0
9.46649,0.51966,-0.35615,21.61478,0.21109,0.21608,0.0
6.84617,0.52846,-0.47788,14.39643,0.11508,0.29024,1.0
8.36106,0.55802,-0.38703,13.18431,0.18287,0.24728,1.0
9.14926,0.58116,-0.32523,14.14042,0.2544,0.24023,1.0
13.88084,0.3998,-0.30859,25.62892,0.07264,0.25927,0.0
7.26591,0.63066,-0.53415,14.82815,0.15988,0.34205,1.0
10.87807,0.41593,-0.2694,35.86804,0.13712,0.12213,0.0
10.0793,0.62257,-0.38861,21.67605,0.17538,0.21615,0.0
12.84142,0.67419,-0.39864,30.12199,0.20371,0.24787,0.0
10.3607,0.68094,-0.41123,32.14525,0.2642,0.26625,0.0
9.55952,0.63237,-0.3527,25.6001,0.17633,0.23226,0.0
1.22644,0.22257,-0.04755,0.06214,0.01766,0.00914,1.0
10.20751,0.6981,-0.44996,26.21333,0.24394,0.35048,0.0
10.03964,0.66669,-0.41901,27.51135,0.69867,0.65794,0.0
13.62736,0.46029,-0.33053,21.22607,0.1086,0.18375,0.0
11.0582,0.58185,-0.35981,18.16801,0.19795,0.15714,0.0
10.48375,0.55864,-0.40095,14.12099,0.22734,0.23669,1.0
12.88006,0.49677,-0.25864,21.08828,0.21679,0.22214,0.0
12.81814,0.55813,-0.47725,27.77945,0.16442,0.30369,0.0
5.58271,0.82985,-0.33284,7.8093,1.94589,0.38616,1.0
12.2181,0.43718,-0.28827,24.97137,0.08414,0.16491,0.0
13.90744,0.55457,-0.37311,57.14934,0.17994,0.24951,2.0
10.95269,0.57307,-0.38075,31.71519,0.17114,0.29101,0.0
11.9512,0.57671,-0.37665,32.21075,0.16834,0.28397,0.0
9.34132,0.44106,-0.19196,14.99916,0.10867,0.07812,1.0
8.38288,0.55525,-0.42937,40.80944,0.16436,0.53542,0.0
10.72016,0.68691,-0.50149,30.68049,0.82409,0.39529,0.0
14.43579,0.6512,-0.61108,44.65396,0.19194,0.76705,0.0
4.61611,0.33681,-0.17357,1.44017,0.05267,0.04824,1.0
4.57013,0.32905,-0.19536,1.90441,0.0327,0.07219,1.0
5.65048,0.43569,-0.25096,3.21527,0.08859,0.09844,1.0
11.96486,0.49872,-0.31644,11.97006,0.13707,0.16113,0.0
9.57305,0.64077,-0.3979,22.79463,0.26012,0.25782,0.0
9.48071,0.6147,-0.38171,24.12298,0.17645,0.24873,0.0
11.87521,0.45886,-0.31343,32.24758,0.13128,0.17492,0.0
6.16457,0.40433,-0.17729,3.33571,0.21482,0.0714,1.0
6.57107,0.36796,-0.14135,3.22459,0.05773,0.05406,1.0
2.08235,0.43715,-0.23079,1.40188,0.15203,0.10905,1.0
9.98106,0.56332,-0.39571,36.22579,0.22596,0.25574,0.0
12.37654,0.48188,-0.32523,22.18351,0.16105,0.2825,0.0
4.17011,0.79969,-0.17321,5.93213,0.79298,0.13418,1.0
4.45614,0.96424,-0.17648,9.56505,5.18421,0.17912,1.0
11.74655,0.47126,-0.26078,19.7219,0.14448,0.16794,0.0
9.08497,0.66647,-0.46354,30.10954,0.22752,0.33008,0.0
0.00372,0.69989,-0.00234,0.00102,0.00161,0.00156,1.0
9e-05,0.27778,-9e-05,3e-05,0.0,3e-05,1.0
5.59986,0.43022,-0.26618,3.73819,0.06956,0.14286,1.0
8.37436,0.50602,-0.2843,23.40336,0.12767,0.78307,1.0
12.74487,0.43277,-0.2912,7.74824,0.07768,0.18801,1.0
7.97893,0.48002,-0.29391,13.33012,0.08812,0.12045,1.0
11.27231,0.5093,-0.30173,11.65156,0.11866,0.14695,1.0
4.39159,0.50829,-0.37739,6.26189,0.13402,0.16754,1.0
6.58957,0.51456,-0.31249,25.45387,0.15241,0.15053,1.0
16.42457,0.4267,-0.28879,63.41426,0.06752,0.66851,2.0
18.73968,0.52406,-0.35316,78.95988,0.19811,0.34675,2.0
16.05754,0.39645,-0.23333,31.23362,0.30614,0.10239,0.0
9.12886,0.5556,-0.47173,22.32078,0.14951,0.23423,0.0
12.56142,0.41117,-0.21894,9.22747,0.07686,0.09518,1.0
10.62257,0.56479,-0.44035,24.55116,0.15251,0.26191,0.0
13.10193,0.55524,-0.43977,32.49708,0.20056,0.42943,0.0
16.45168,0.41657,-0.21744,44.68984,0.13108,0.12341,0.0
